City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude
berlevag,22.06,79,75,20.71,70.8578,29.0864
ushuaia,57.2,54,0,16.11,-54.8,-68.3
vaini,77,94,75,8.05,-21.2,-175.2
mataura,50.13,89,98,1.7,-46.1927,168.8643
butaritari,80.64,81,43,18.21,3.0707,172.7902
rio gallegos,69.8,30,0,5.75,-51.6226,-69.2181
hobart,52.54,62,40,5.75,-42.8794,147.3294
albany,26.87,75,100,4.45,42.6001,-73.9662
saint-philippe,76.95,78,34,4.61,-21.3585,55.7679
soto,88.86,44,0,4,-32.8107,-61.4026
noumea,74.3,100,0,2.3,-22.2763,166.4572
punta arenas,64.4,27,0,12.66,-53.15,-70.9167
port alfred,66.99,95,70,11.81,-33.5906,26.891
new norfolk,52.52,62,40,5.75,-42.7826,147.0587
rikitea,77.38,72,96,12.06,-23.1203,-134.9692
marsaxlokk,62.82,77,0,10.36,35.8419,14.5431
jamestown,19.04,73,90,16.11,42.097,-79.2353
kaitangata,59,94,61,1.99,-46.2817,169.8464
ancud,77.52,36,0,6.91,-41.8697,-73.8203
manicore,85.86,79,81,2.62,-5.8092,-61.3003
goure,78.01,11,2,1.99,13.9835,10.2704
sorland,35.6,80,40,19.57,67.667,12.6934
thompson,-32.8,61,75,17.27,55.7435,-97.8558
alegrete,87.67,35,0,6.69,-29.7831,-55.7919
namibe,73.09,77,97,6.13,-15.1961,12.1522
nikolskoye,14.88,92,75,8.95,59.7035,30.7861
manutuke,53.01,97,44,3,-38.6833,177.9167
upernavik,18.43,80,15,3.6,72.7868,-56.1549
bredasdorp,69.8,56,59,9.22,-34.5322,20.0403
arraial do cabo,75.97,78,75,5.75,-22.9661,-42.0278
tasiilaq,21.2,58,0,3.44,65.6145,-37.6368
kununurra,78.8,77,40,9.4,-15.7667,128.7333
coolum beach,75.38,97,96,10.69,-26.5333,153.1
tual,83.37,79,100,18.79,-5.6667,132.75
liverpool,35.19,69,75,16.11,53.4106,-2.9779
isangel,77.18,80,20,4.47,-19.55,169.2667
gwadar,67.98,50,0,5.3,25.1216,62.3254
alofi,77,94,80,3.44,-19.0595,-169.9187
pisco,76.26,88,40,8.05,-13.7,-76.2167
soderhamn,14.97,83,1,5.86,61.3037,17.0592
faanui,80.96,76,2,12.1,-16.4833,-151.75
atuona,79.43,74,48,21.7,-9.8,-139.0333
hilo,62.49,59,1,9.22,19.7297,-155.09
svetlyy,5,85,0,8.95,54.675,20.1347
georgetown,81.18,83,20,3.44,5.4112,100.3354
broome,30.88,93,90,9.22,42.2506,-75.833
salalah,75.2,69,40,2.3,17.0151,54.0924
faya,57.2,62,0,6.33,18.3851,42.4509
tiksi,-28.34,83,66,3.4,71.6872,128.8694
cidreira,76.66,63,33,11.16,-30.1811,-50.2056
busselton,63,98,99,9.86,-33.65,115.3333
husavik,32,74,75,2.3,66.0449,-17.3389
birao,71.42,21,35,6.02,10.2849,22.7882
kyabe,77.92,14,59,5.03,9.4515,18.9449
baykit,25.65,96,100,5.19,61.67,96.37
ingraj bazar,62.1,48,0,7.05,25,88.15
sitka,28.4,50,40,5.75,57.0531,-135.33
kurumkan,-0.42,87,100,1.21,54.3,110.3
ballina,71.91,83,90,6.91,-28.8667,153.5667
puerto ayora,82.22,70,0,17.27,-0.7393,-90.3518
castro,76.26,42,0,3.8,-24.7911,-50.0119
hamilton,19.72,53,1,9.22,39.1834,-84.5333
kodiak,26.6,68,1,4.61,57.79,-152.4072
lavrentiya,-11.22,84,0,5.3,65.5833,-171
grand gaube,80.01,80,83,5.99,-20.0064,57.6608
le port,74.3,65,0,6.91,-20.9373,55.2919
khatanga,-31.58,79,0,9.4,71.9667,102.5
bijawar,56.12,39,0,1.81,24.6333,79.5
gazanjyk,54.16,51,100,12.28,39.2446,55.5154
narsaq,39.2,28,75,43.73,60.9167,-46.05
mahebourg,80.6,74,20,10.36,-20.4081,57.7
tuktoyaktuk,-23.8,76,75,14.97,69.4541,-133.0374
cape town,69.13,60,0,24.16,-33.9258,18.4232
carnarvon,78.8,100,40,12.66,-24.8667,113.6333
asyut,64.4,55,0,8.05,27.181,31.1837
hvizd,21.09,93,75,15.66,48.6852,24.5506
charleston,47.07,81,90,16.11,32.7766,-79.9309
svetlaya,2.26,85,99,12.03,46.5389,138.3297
kapaa,59,77,1,10.36,22.0752,-159.319
salisbury,34.84,64,90,20.71,51.0693,-1.7957
taltal,69.35,62,43,6.6,-25.4,-70.4833
tautira,78.39,73,75,3.44,-17.7333,-149.15
chumikan,-7.11,83,100,26.84,54.7183,135.315
katsuura,44.15,53,0,12.66,35.1333,140.3
victoria,65.77,84,0,3,22.2855,114.1577
mackenzie,-20.2,76,1,3.44,55.2999,-123.1698
airai,60.64,100,100,2.86,-8.9266,125.4092
kruisfontein,64.99,93,100,5.01,-34.0033,24.7314
cozumel,84.61,74,40,11.5,20.5083,-86.9458
port elizabeth,68,94,40,5.75,-33.918,25.5701
rapar,67.59,30,0,6.26,23.5667,70.6333
asfi,58.86,67,41,5.95,32.2994,-9.2372
